order,path,mode,purpose
1,sql/84_msbf_m1_12_schema_policy_extension_v0_2.sql,NORMAL,Schema and policy extension
2,tests/85_msbf_m1_12_preflight_validation_v0_2.sql,NORMAL,Preflight
3,sql/86_msbf_m1_12_integrated_risk_proxy_generation_v0_2.sql,NORMAL,Generation
4,sql/87_msbf_m1_12_integrated_risk_proxy_validation_v0_2.sql,NORMAL,Positive validation
5,sql/88_msbf_m1_12_negative_control_tests_v0_2.sql,NORMAL,Negative controls
6,sql/89_msbf_m1_12_acceptance_finalize_v0_2.sql,NORMAL,Acceptance
7,tests/90_MSBF_M1_12_Merchant_Risk_Proxy_Master_Report_v0_2.sql,NORMAL,Master report
8,tests/91_MSBF_M1_12_Merchant_Risk_Proxy_Detail_Report_v0_2.sql,NORMAL,Detail report
,tests/84A_msbf_m1_12_failed_generation_recovery_check_v0_2.sql,CONTINGENCY,Failed-generation recovery
,tests/86A_msbf_m1_12_generation_reconciliation_reconstructed_v0_2.sql,CONTINGENCY,Lost generation evidence reconstruction
