"accepted_partner_channel_id","primary_campaign_id","applications","internal_sales_rm","agency_creative_tech","campaign_overhead","internally_allocated_total","avg_internally_allocated"
CH_BANK_RELATIONSHIP,ACQ_BANK_BRANCH_OUTREACH,45,2550.00,0.00,0.00,2550.00,56.6666666666666667
CH_BANK_RELATIONSHIP,ACQ_BANK_RM_ALWAYS_ON,65,3675.00,0.00,0.00,3675.00,56.5384615384615385
CH_BANK_RELATIONSHIP,ACQ_BANK_TREASURY_XSELL,25,1425.00,0.00,0.00,1425.00,57.0000000000000000
CH_BROKER_NETWORK,ACQ_BROKER_DIRECT,10,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BROKER_NETWORK,ACQ_BROKER_ISO_EAST,35,0.00,0.00,4200.00,4200.00,120.0000000000000000
CH_BROKER_NETWORK,ACQ_BROKER_ISO_WEST,25,0.00,0.00,3600.00,3600.00,144.0000000000000000
CH_BROKER_NETWORK,ACQ_BROKER_PURCHASED_LEADS,20,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_DIRECT_MAIL,15,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_DIRECT_NAV,20,0.00,0.00,3000.00,3000.00,150.0000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_EMAIL_RETARGET,15,0.00,3600.00,0.00,3600.00,240.0000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_ORGANIC_ALWAYS_ON,25,0.00,4200.00,0.00,4200.00,168.0000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SEARCH_BRAND,30,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SEARCH_NONBRAND,25,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SOCIAL,20,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_PROCESSOR_DIRECT,ACQ_PROC_AM_REFERRAL,60,3375.00,0.00,0.00,3375.00,56.2500000000000000
CH_PROCESSOR_DIRECT,ACQ_PROC_EMAIL_OUTREACH,90,0.00,3600.00,0.00,3600.00,40.0000000000000000
CH_PROCESSOR_DIRECT,ACQ_PROC_PORTAL_ALWAYS_ON,105,0.00,0.00,4200.00,4200.00,40.0000000000000000
CH_STRATEGIC_PARTNER,ACQ_PARTNER_ASSOCIATION,40,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_STRATEGIC_PARTNER,ACQ_PARTNER_MERCHANT_SERVICES,30,0.00,0.00,4200.00,4200.00,140.0000000000000000
CH_STRATEGIC_PARTNER,ACQ_PARTNER_SOFTWARE_PLATFORM,50,0.00,0.00,5000.00,5000.00,100.0000000000000000
