"accepted_partner_channel_id","primary_source_code","primary_campaign_id","applications","direct_attributable","internal_allocated","total_incurred","detailed_total_if_booked","enhanced_total_if_booked"
CH_BANK_RELATIONSHIP,SRC_BANK_BRANCH_BANKER,ACQ_BANK_BRANCH_OUTREACH,45,0.00,2550.00,2550.00,7623.60,10100.08
CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,ACQ_BANK_RM_ALWAYS_ON,65,0.00,3675.00,3675.00,11734.20,16498.31
CH_BANK_RELATIONSHIP,SRC_BANK_TREASURY_CROSS_SELL,ACQ_BANK_TREASURY_XSELL,25,0.00,1425.00,1425.00,3620.60,4503.00
CH_BROKER_NETWORK,SRC_BROKER_DIRECT,ACQ_BROKER_DIRECT,10,500.00,0.00,500.00,11296.00,12645.50
CH_BROKER_NETWORK,SRC_BROKER_ISO,ACQ_BROKER_ISO_EAST,35,0.00,4200.00,4200.00,29328.00,28551.50
CH_BROKER_NETWORK,SRC_BROKER_ISO,ACQ_BROKER_ISO_WEST,25,0.00,3600.00,3600.00,28932.00,30020.00
CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,ACQ_BROKER_PURCHASED_LEADS,20,1820.00,0.00,1820.00,14680.00,15537.00
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_MAIL,ACQ_DIGITAL_DIRECT_MAIL,15,229.50,0.00,229.50,3183.90,5799.60
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_NAV,ACQ_DIGITAL_DIRECT_NAV,20,0.00,3000.00,3000.00,6602.40,9935.40
CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,ACQ_DIGITAL_EMAIL_RETARGET,15,0.00,3600.00,3600.00,4967.20,5444.20
CH_DIGITAL_DIRECT,SRC_DIGITAL_ORGANIC_SEARCH,ACQ_DIGITAL_ORGANIC_ALWAYS_ON,25,0.00,4200.00,4200.00,10033.60,14806.60
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,30,750.00,0.00,750.00,9872.40,20825.40
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_NONBRAND,25,875.00,0.00,875.00,5195.00,10070.00
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SOCIAL,ACQ_DIGITAL_PAID_SOCIAL,20,400.00,0.00,400.00,4485.60,9352.60
CH_PROCESSOR_DIRECT,SRC_PROC_ACCOUNT_MANAGER,ACQ_PROC_AM_REFERRAL,60,0.00,3375.00,3375.00,12246.00,15885.64
CH_PROCESSOR_DIRECT,SRC_PROC_EMAIL,ACQ_PROC_EMAIL_OUTREACH,90,0.00,3600.00,3600.00,18961.80,28005.00
CH_PROCESSOR_DIRECT,SRC_PROC_PORTAL,ACQ_PROC_PORTAL_ALWAYS_ON,105,0.00,4200.00,4200.00,21534.00,30307.00
CH_STRATEGIC_PARTNER,SRC_PARTNER_ASSOCIATION,ACQ_PARTNER_ASSOCIATION,40,2000.00,0.00,2000.00,17552.00,17940.00
CH_STRATEGIC_PARTNER,SRC_PARTNER_MERCHANT_SERVICES,ACQ_PARTNER_MERCHANT_SERVICES,30,0.00,4200.00,4200.00,17016.00,18700.50
CH_STRATEGIC_PARTNER,SRC_PARTNER_SOFTWARE_PLATFORM,ACQ_PARTNER_SOFTWARE_PLATFORM,50,0.00,5000.00,5000.00,27866.00,30181.00
