"accepted_partner_channel_id","first_touch_source_code","last_touch_source_code","primary_source_code","applications","assisted_touches","avg_touchpoints","avg_attribution_confidence"
CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_RELATIONSHIP_MANAGER,56,22,1.3928571428571429,0.73571428571428571429
CH_BANK_RELATIONSHIP,SRC_BANK_BRANCH_BANKER,SRC_BANK_BRANCH_BANKER,SRC_BANK_BRANCH_BANKER,43,19,1.4418604651162791,0.74069767441860465116
CH_BANK_RELATIONSHIP,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_TREASURY_CROSS_SELL,23,9,1.3913043478260870,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_RELATIONSHIP_MANAGER,7,7,2.0000000000000000,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_BRANCH_BANKER,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_RELATIONSHIP_MANAGER,2,2,2.0000000000000000,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_BRANCH_BANKER,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_TREASURY_CROSS_SELL,1,1,2.0000000000000000,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_BRANCH_BANKER,SRC_BANK_BRANCH_BANKER,1,1,2.0000000000000000,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_TREASURY_CROSS_SELL,1,1,2.0000000000000000,0.75000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_TREASURY_CROSS_SELL,SRC_BANK_BRANCH_BANKER,SRC_BANK_BRANCH_BANKER,1,1,2.0000000000000000,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_ISO,SRC_BROKER_ISO,SRC_BROKER_ISO,53,15,1.2830188679245283,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_PURCHASED_LEAD,13,2,1.1538461538461538,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_DIRECT,SRC_BROKER_DIRECT,SRC_BROKER_DIRECT,7,1,1.1428571428571429,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_ISO,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_PURCHASED_LEAD,5,5,2.0000000000000000,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_DIRECT,SRC_BROKER_ISO,SRC_BROKER_ISO,4,5,2.2500000000000000,0.65000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_ISO,SRC_BROKER_ISO,3,3,2.0000000000000000,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_DIRECT,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_PURCHASED_LEAD,2,2,2.0000000000000000,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_ISO,SRC_BROKER_DIRECT,SRC_BROKER_DIRECT,2,2,2.0000000000000000,0.75000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,SRC_BROKER_DIRECT,SRC_BROKER_DIRECT,1,1,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,38,7,1.1842105263157895,0.91842105263157894737
CH_DIGITAL_DIRECT,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,17,2,1.1176470588235294,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SOCIAL,SRC_DIGITAL_PAID_SOCIAL,SRC_DIGITAL_PAID_SOCIAL,15,2,1.1333333333333333,0.93666666666666666667
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_NAV,SRC_DIGITAL_DIRECT_NAV,SRC_DIGITAL_DIRECT_NAV,14,1,1.0714285714285714,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,SRC_DIGITAL_EMAIL_RETARGET,SRC_DIGITAL_EMAIL_RETARGET,11,2,1.1818181818181818,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_MAIL,SRC_DIGITAL_DIRECT_MAIL,SRC_DIGITAL_DIRECT_MAIL,10,1,1.1000000000000000,0.93000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_DIRECT_NAV,SRC_DIGITAL_DIRECT_NAV,5,5,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_MAIL,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,4,4,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SOCIAL,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,4,4,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,4,4,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,3,4,2.3333333333333333,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,3,3,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_MAIL,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,2,2,2.0000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,SRC_DIGITAL_ORGANIC_SEARCH,2,3,2.5000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_EMAIL_RETARGET,SRC_DIGITAL_EMAIL_RETARGET,2,3,2.5000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_NAV,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SEARCH,2,3,2.5000000000000000,0.75000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,SRC_DIGITAL_PAID_SOCIAL,SRC_DIGITAL_PAID_SOCIAL,2,2,2.0000000000000000,0.75000000000000000000
