"industry_code","merchant_size_tier","relationship_stage","accepted_partner_channel_id","primary_source_code","applications","avg_attribution_confidence","avg_incurred_cost","avg_detailed_if_booked","avg_enhanced_if_booked"
CONSTRUCTION_TRADES,LOWER_MIDDLE,LOW_AND_GROW,CH_PROCESSOR_DIRECT,SRC_PROC_EMAIL,1,0.75000000000000000000,40.0000000000000000,256.6000000000000000,391.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,LOW_AND_GROW,CH_PROCESSOR_DIRECT,SRC_PROC_PORTAL,1,0.75000000000000000000,40.0000000000000000,341.8000000000000000,523.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,1,0.75000000000000000000,56.5300000000000000,436.9300000000000000,724.5600000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_BROKER_NETWORK,SRC_BROKER_DIRECT,1,0.75000000000000000000,50.0000000000000000,1050.0000000000000000,1175.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,1,0.75000000000000000000,91.0000000000000000,1151.0000000000000000,1238.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,1,0.75000000000000000000,240.0000000000000000,505.6000000000000000,717.6000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,SRC_DIGITAL_ORGANIC_SEARCH,1,0.75000000000000000000,168.0000000000000000,324.8000000000000000,436.8000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,1,0.95000000000000000000,35.0000000000000000,1031.0000000000000000,2255.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SOCIAL,1,0.95000000000000000000,20.0000000000000000,533.6000000000000000,1163.6000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_PROCESSOR_DIRECT,SRC_PROC_EMAIL,2,0.75000000000000000000,40.0000000000000000,287.8000000000000000,443.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_PROCESSOR_DIRECT,SRC_PROC_PORTAL,1,0.75000000000000000000,40.0000000000000000,154.0000000000000000,210.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,NEW,CH_STRATEGIC_PARTNER,SRC_PARTNER_SOFTWARE_PLATFORM,1,0.75000000000000000000,100.0000000000000000,630.0000000000000000,712.5000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,RETURNING_GOOD,CH_BROKER_NETWORK,SRC_BROKER_ISO,1,0.35000000000000000000,144.0000000000000000,960.0000000000000000,
CONSTRUCTION_TRADES,LOWER_MIDDLE,RETURNING_GOOD,CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,1,0.75000000000000000000,240.0000000000000000,340.0000000000000000,345.0000000000000000
CONSTRUCTION_TRADES,LOWER_MIDDLE,RETURNING_GOOD,CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,1,0.75000000000000000000,25.0000000000000000,233.0000000000000000,478.0000000000000000
