"accepted_partner_channel_id","primary_campaign_id","applications","min_legacy_rate","avg_legacy_rate","max_legacy_rate","conditional_if_booked","avg_conditional_if_booked"
CH_BANK_RELATIONSHIP,ACQ_BANK_BRANCH_OUTREACH,45,0.00750000,0.00750000000000000000,0.00750000,5073.60,112.7466666666666667
CH_BANK_RELATIONSHIP,ACQ_BANK_RM_ALWAYS_ON,65,0.00750000,0.00750000000000000000,0.00750000,8059.20,123.9876923076923077
CH_BANK_RELATIONSHIP,ACQ_BANK_TREASURY_XSELL,25,0.00750000,0.00750000000000000000,0.00750000,2195.60,87.8240000000000000
CH_BROKER_NETWORK,ACQ_BROKER_DIRECT,10,0.04500000,0.04500000000000000000,0.04500000,10796.00,1079.6000000000000000
CH_BROKER_NETWORK,ACQ_BROKER_ISO_EAST,35,0.04500000,0.04500000000000000000,0.04500000,25128.00,717.9428571428571429
CH_BROKER_NETWORK,ACQ_BROKER_ISO_WEST,25,0.04500000,0.04500000000000000000,0.04500000,25332.00,1013.2800000000000000
CH_BROKER_NETWORK,ACQ_BROKER_PURCHASED_LEADS,20,0.04500000,0.04500000000000000000,0.04500000,12860.00,643.0000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_DIRECT_MAIL,15,0.01800000,0.01800000000000000000,0.01800000,2954.40,196.9600000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_DIRECT_NAV,20,0.01800000,0.01800000000000000000,0.01800000,3602.40,180.1200000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_EMAIL_RETARGET,15,0.01800000,0.01800000000000000000,0.01800000,1367.20,91.1466666666666667
CH_DIGITAL_DIRECT,ACQ_DIGITAL_ORGANIC_ALWAYS_ON,25,0.01800000,0.01800000000000000000,0.01800000,5833.60,233.3440000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SEARCH_BRAND,30,0.01800000,0.01800000000000000000,0.01800000,9122.40,304.0800000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SEARCH_NONBRAND,25,0.01800000,0.01800000000000000000,0.01800000,4320.00,172.8000000000000000
CH_DIGITAL_DIRECT,ACQ_DIGITAL_PAID_SOCIAL,20,0.01800000,0.01800000000000000000,0.01800000,4085.60,204.2800000000000000
CH_PROCESSOR_DIRECT,ACQ_PROC_AM_REFERRAL,60,0.01000000,0.01000000000000000000,0.01000000,8871.00,147.8500000000000000
CH_PROCESSOR_DIRECT,ACQ_PROC_EMAIL_OUTREACH,90,0.01000000,0.01000000000000000000,0.01000000,15361.80,170.6866666666666667
CH_PROCESSOR_DIRECT,ACQ_PROC_PORTAL_ALWAYS_ON,105,0.01000000,0.01000000000000000000,0.01000000,17334.00,165.0857142857142857
CH_STRATEGIC_PARTNER,ACQ_PARTNER_ASSOCIATION,40,0.02500000,0.02500000000000000000,0.02500000,15552.00,388.8000000000000000
CH_STRATEGIC_PARTNER,ACQ_PARTNER_MERCHANT_SERVICES,30,0.02500000,0.02500000000000000000,0.02500000,12816.00,427.2000000000000000
CH_STRATEGIC_PARTNER,ACQ_PARTNER_SOFTWARE_PLATFORM,50,0.02500000,0.02500000000000000000,0.02500000,22866.00,457.3200000000000000
