source_path,size_bytes,sha256,format,source_role
ChatGPT_Logs/ChatGPT_Log_Branch_Merchant_POS_Lending_Simulator_260812.csv,1750256,db864d271b5d8821d0ab272ba4b1e086d1f1dfcdb4767efa8566b5cc267fb405,csv,tabular_duplicate_export
ChatGPT_Logs/ChatGPT_Log_Branch_Merchant_POS_Lending_Simulator_260812.html,2059701,845f911a1f566d2d059c16749690075e972a2c6cdb3a9b8aed4276f1d3f09991,html,browser_rendering_duplicate
ChatGPT_Logs/ChatGPT_Log_Branch_Merchant_POS_Lending_Simulator_260812.json,1829638,b89c6929e342f1dad0d1ebb22c418854a95657fe5d9af301c03d24fab5444d64,json,canonical_structured_export
ChatGPT_Logs/ChatGPT_Log_M2_11_Plan_Review_260812.csv,668235,7e9b86914383e7a3794bc647240064cd18c56d23a1aebffc3372cd84835222c9,csv,tabular_duplicate_export
ChatGPT_Logs/ChatGPT_Log_M2_11_Plan_Review_260812.html,769515,e02299512bdfdcae295bc1f77004c71ac8210ebba962c34f30ae84580090ffc6,html,browser_rendering_duplicate
ChatGPT_Logs/ChatGPT_Log_M2_11_Plan_Review_260812.json,706615,efa53913467d718dd73872d56e747dffe715df6254e5cb4dd6169863b44a20d8,json,canonical_structured_export
ChatGPT_Logs/ChatGPT_Log_Merchant_POS_Lending_Simulator_260812.csv,1641115,2af203ad43440eeac586f196b2a227cdb067ed14a42433e41009e805fa37f3c2,csv,tabular_duplicate_export
ChatGPT_Logs/ChatGPT_Log_Merchant_POS_Lending_Simulator_260812.html,1959607,f3efe0059a515e648838b13d24203c9f63a1982577818077d7eb3a686595c62e,html,browser_rendering_duplicate
ChatGPT_Logs/ChatGPT_Log_Merchant_POS_Lending_Simulator_260812.json,1731474,b373b989e7e3c050eaa820f4eca15efa0203f12686fc32445ad1bde0e94ffa0a,json,canonical_structured_export
ChatGPT_Logs/ChatGPT_Log_PostgreSQL_M1_14_Execution_260812.csv,1210938,36358cc5d6c891b48e5e2fb8744765693c5ce13845494ca19643b1f20113db0f,csv,tabular_duplicate_export
ChatGPT_Logs/ChatGPT_Log_PostgreSQL_M1_14_Execution_260812.html,1413822,82cf4cf315c0c31a2212746e064903487732e2414c9846a30d9ad18774661fba,html,browser_rendering_duplicate
ChatGPT_Logs/ChatGPT_Log_PostgreSQL_M1_14_Execution_260812.json,1275196,c0f77f0b9c8b76e1e2d05f54d789985dbeba908e32e8efddcc6508d9e2ecf97d,json,canonical_structured_export
ChatGPT_Logs/ChatGPT_Log_Vertical_View_Branch_Merchant_POS_Lending_Simulator_260812.html,1886468,bb35e31af9e8a063da6aac7621205804f8148646f7d65d81992a47502c0e5528,html,alternate_html_rendering
ChatGPT_Logs/ChatGPT_Log_Vertical_View_M2_11_Plan_Review_260812.html,726045,e760caba794571f3a57003d630bd114707402a2f0d65fe0c669de9bb7e812b59,html,alternate_html_rendering
ChatGPT_Logs/ChatGPT_Log_Vertical_View_Merchant_POS_Lending_Simulator_260812.html,1790988,49d85c0cbb50ebef09298c84eae5ba292c8d0e0620b63e0ad707ff87915f8dc4,html,alternate_html_rendering
ChatGPT_Logs/ChatGPT_Log_Vertical_View_PostgreSQL_M1_14_Execution_260812.html,1304194,f1a814613e477ea515c3fc45873bbcfe9c660210c3b2832b842e324a7635efa6,html,alternate_html_rendering
ChatGPT_Logs/ChatGPT_Log_Vertical_View_WP3_Build_Protocol_260812.html,327437,86313f38ea4ded4ddbfd2cb920aaf40d99eb9a7a8a703bb2c082ea06b04419a7,html,alternate_html_rendering
ChatGPT_Logs/ChatGPT_Log_WP3_Build_Protocol_260812.csv,292274,6fbb279b537b69cad0c4524c0035ae1bd48b27436bd5facff760dc86cf286937,csv,tabular_duplicate_export
ChatGPT_Logs/ChatGPT_Log_WP3_Build_Protocol_260812.html,361469,3dee87250a684ff92b957e60a926e8b21bbbcfc19886aa83d937eaef0c8d624d,html,browser_rendering_duplicate
ChatGPT_Logs/ChatGPT_Log_WP3_Build_Protocol_260812.json,313734,5828e8eeddd4795ed5cd9b286223ffcb67c9898a2e2fbb0dbbd97ebbb51a94bb,json,canonical_structured_export
