filename,category,source_archive_path,bytes,sha256
M2_12_SOURCE_AND_BUSINESS_DESIGN_FREEZE_AND_BUILD_HANDOFF.md,design,05_governance/hierarchy_sources/M2_12_SOURCE_AND_BUSINESS_DESIGN_FREEZE_AND_BUILD_HANDOFF.md,47877,eef5d551f393d745286de4f975bb07016372d18b2eb9ebdea20bc8e51105d0b6
M2_12_SOURCE_AND_BUSINESS_DESIGN_FREEZE_AMENDMENT_A.md,design,05_governance/design_authority/M2_12_SOURCE_AND_BUSINESS_DESIGN_FREEZE_AMENDMENT_A.md,24011,06b88efd2b0297c017deb778e692ff892f353d3bb4912a48188b76cd6107af59
CURRENT_NEXT_STEP_MODULE_3_SOURCE_BUSINESS_DESIGN_PLANNING.md,design,CURRENT_NEXT_STEP_MODULE_3_SOURCE_BUSINESS_DESIGN_PLANNING.md,471,dafd899c40d27bdad4d02b7543d49d014a46cf8784f0594bb590ba01f2f3c70c
M2_12_FINAL_AUDIT_ACCEPTANCE_HANDOFF_20260812_INTERNAL_VALIDATION_REPORT.md,validation,11_independent_audit/validation/M2_12_FINAL_AUDIT_ACCEPTANCE_HANDOFF_20260812_INTERNAL_VALIDATION_REPORT.md,783,250e12bcb0aa528fe1c7e2fe136241eb1bd9cec4e770767b5dc0d3dcdc803346
M2_12_FINAL_INDEPENDENT_AUDIT_SIGNOFF_20260812.md,validation,11_independent_audit/read_first/M2_12_FINAL_INDEPENDENT_AUDIT_SIGNOFF_20260812.md,1692,62460383222c504459b2212183cf3d2568d7d549c8cd823eb0702d801482c859
M2_12_FINAL_AUDIT_ACCEPTANCE_HANDOFF_INDEX_20260812.md,validation,11_independent_audit/read_first/M2_12_FINAL_AUDIT_ACCEPTANCE_HANDOFF_INDEX_20260812.md,968,d260e45b7c47243f87665878b39196e44aa37b11662c420f91a463f78c3dbba1
M2_12_FINAL_AUDIT_ACCEPTANCE_BUILD_CHAT_HANDOFF_20260812.md,validation,11_independent_audit/read_first/M2_12_FINAL_AUDIT_ACCEPTANCE_BUILD_CHAT_HANDOFF_20260812.md,1996,cb93b2968379d223f35b9e72580fe901b8288b9e71d212318e4c01ec3221beb8
M2_12_ACCEPTED_PACKAGING_AUTHORITY.md,authority,12_accepted_packaging/M2_12_ACCEPTED_PACKAGING_AUTHORITY.md,355,c266f94774aac02d880ef7a4ca36de94b4177f24519129185c5179d13e3dd415
M2_12_SOURCE_AND_PROVENANCE_AUTHORITY.md,authority,03_docs/M2_12_SOURCE_AND_PROVENANCE_AUTHORITY.md,2103,5c76cb38dbb303a54fe3232109ad8e36001ea62f8843c973946aa45e876249a6
M2_12_WP4_R1_PACKAGE_IDENTITY_AND_VALIDATION_REPORT.md,"authority,validation",05_governance/upstream_wp4_source_authority/M2_12_WP4_R1_PACKAGE_IDENTITY_AND_VALIDATION_REPORT.md,2164,8db2f0cd222e258ba16a157f7644923a25d6cc917bde6560878d656ccbf65ea9
M2_12_SOURCE_PROVENANCE_AND_PACKAGE_NOTE.md,authority,M2_12_SOURCE_PROVENANCE_AND_PACKAGE_NOTE.md,1694,91f323c947d3495a95510b7cd1a699f4042d50404dc2be85b64cdfe4b76aa808
M2_12_AUDIT_DETERMINATION_SUPERSESSION_RECORD_20260812.md,"correction,validation",11_independent_audit/history/M2_12_AUDIT_DETERMINATION_SUPERSESSION_RECORD_20260812.md,1365,69983dbd6e62396fdfb3c0c3b4d713d1b88685ff501b276f407256617ddcc2e4
M2_12_RS11_POST_SUBMISSION_CORRECTION_VALIDATION.md,"correction,validation",06_validation/current/audit_ledgers/M2_12_RS11_POST_SUBMISSION_CORRECTION_VALIDATION.md,1709,95b592dffb3b21dd323a11b84020b8519450050b0d300898ea0cbe037aba3196
M2_12_VALIDATION_AND_HOTFIX_HISTORY.md,"correction,validation",05_governance/live_execution/00_START_HERE/M2_12_VALIDATION_AND_HOTFIX_HISTORY.md,7325,b0cef2f2e71e4ec959622c0835181084f42fc039ab4fa49dd3a3f055eaca3484
M2_12_DIRECTED_RECOVERY_GUIDE.md,correction,03_docs/M2_12_DIRECTED_RECOVERY_GUIDE.md,3186,992ad4b783fa028a912b876587b6fc68ebbbe1128a2a9ef239b20bfdb84f2b54
README_RECOVERY_ONLY.md,correction,02_sql_recovery_contingency_only/README_RECOVERY_ONLY.md,696,030d4903b8778c14a7f563919de13424dd09f9bc5e1bbaa3f9435481f11e012b
