order,file,purpose,required_result,contingency_only
1,sql/52_msbf_m1_8_schema_policy_extension_v0_2.sql,Schema/policy extension,schema_policy_extension_status=PASS,False
2,tests/53_msbf_m1_8_preflight_validation_v0_2.sql,Preflight,preflight_status=PASS,False
3,sql/54_msbf_m1_8_verification_fraud_continuity_generation_v0_2.sql,Generation,generation_status=PASS,False
4,sql/55_msbf_m1_8_verification_fraud_continuity_validation_v0_2.sql,Positive validation,60/60 PASS,False
5,sql/56_msbf_m1_8_negative_control_tests_v0_2.sql,Negative controls,6/6 PASS,False
6,sql/57_msbf_m1_8_acceptance_finalize_v0_2.sql,Acceptance finalizer,gate PASS; M1_8_ACCEPTED,False
7,tests/58_MSBF_M1_8_Verification_Fraud_Processor_Continuity_Master_Report_v0_2.sql,Master report,overall_m1_8_status=PASS,False
8,tests/59_MSBF_M1_8_Verification_Fraud_Processor_Continuity_Detail_Report_v0_2.sql,Detailed reports,17 sets; mismatch/error sets empty,False
,tests/52A_msbf_m1_8_failed_generation_recovery_check_v0_2.sql,Contingency after rollback,recovery_state_status=PASS,True
,tests/54A_msbf_m1_8_generation_reconciliation_reconstructed_v0_2.sql,Contingency if result tab lost,generation_reconciliation_status=PASS,True
