domain,object_name,field_name,data_type,grain,business_purpose,source_or_formula,validation_use
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,scenario_row_id,bigint GENERATED ALWAYS AS IDENTITY,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,scenario_id,bigint,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,base_row_hash,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,direct_shock_factor,"numeric(12,8)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,propagated_shock_factor,"numeric(12,8)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,scenario_overlay_payload,jsonb,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,population_id,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,merchant_id,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,processor_account_id,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,observation_date,date,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,gross_pos_sales,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,transaction_count,integer,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,average_ticket_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,refund_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,chargeback_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,reversal_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,governed_exclusion_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,eligible_pos_sales,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,processor_fee_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,settlement_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,net_merchant_proceeds,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
