"scenario_code","merchant_application_id","synthetic_account_id","synthetic_advance_id","latest_monitoring_status_code","source_daily_row_hash","source_m2_4_contract_row_hash","source_advance_row_hash","source_portfolio_row_hash","contract_row_hash"
BASELINE,MSBF_POP_0001_M000016_A01,MSBF_ACCT_4C4E600B0364C08A3C89,MSBF_ADV_5C6C3B17552DF4674310,PAID_OFF,f331e94dbfec1db6a4e04abc43d4e44a,"86ce28806edae526cdf6e0fbf2607c1b",d77915533e68d87f060910811bce4a6b,"92058f025a6b035d6b821bc67dd90e97",ce05ea8078e80de16fcd76f02823e3a2
BASELINE,MSBF_POP_0001_M000020_A01,MSBF_ACCT_3D0C66746670C2025F92,MSBF_ADV_3EB894E2CED82E44D175,PAID_OFF,b96d14045aeec4be293eabb20ce8b08b,"901f1dbda392bb7a419d2995936c5475",d4f856cf749420ef5046a800d4fcc3f2,a1d470054cf145e6d9e395c3ea6ca84e,"87cc2080e714fed4fb25530de1eaba07"
BASELINE,MSBF_POP_0001_M000025_A01,MSBF_ACCT_E644817E333C7BF068EC,MSBF_ADV_F0DEA7C3E2C9BB491B51,PAID_OFF,"017f9e4c155e501cbffecc17fa418536",c7c8cc853a0b3bb90afa300aeb11435d,"83b42161ddce046a784e00f0a48d440d","9025d8cc0b1d13d12cc32b244de0affe","56cd2d7d100840aeb13abe70bf8c35fe"
BASELINE,MSBF_POP_0001_M000027_A01,MSBF_ACCT_71190D5759C028FE75AA,MSBF_ADV_646D95AA7C3E62CEE804,PAID_OFF,"3c51fc1a0cdaa596a01d7b4a84e1fa03",e7b11ffacd4cc8f314f700e28dc8c67a,b728469cafd33e7b1d43ab49ddbed94e,"13a8d7cd577bdb51c8ac64d5ad3334bf",b409691766cba1188a632fda6a9e4767
BASELINE,MSBF_POP_0001_M000039_A01,MSBF_ACCT_3B531B9B7E2C1BD1816A,MSBF_ADV_520BFCDB1782E42ADF11,PAID_OFF,"580167b0249ece5d54a546178148ac28","17d9388b55488be1062fd8ca77641f13",d00d3b288503132f22fbf17749d9d33b,a6b8dc71d651eb188adcc96cd89d6e95,c727552b8c544c7aa7ea123ca8bcca92
BASELINE,MSBF_POP_0001_M000049_A01,MSBF_ACCT_F5E35DB63E635194672D,MSBF_ADV_79B9982BE2E80C865D9C,PAID_OFF,e30de7cbbbcb1a7907ff5d877201e952,"49b8a83fa59e6cbc1c162527e10baaf0","8075bb87fb3ee12f789111f0276d5a51","66054c7a3c3ceff7e6b18f4164836087","7e5233007f616fb8aa9572bde0b1baba"
BASELINE,MSBF_POP_0001_M000076_A01,MSBF_ACCT_CAFA2C665431321B1CBC,MSBF_ADV_985E6A4A39D1662FA830,PAID_OFF,edc6b24e61723d9ae66c023a1cf39afd,"2eac4481abbc429374072760266c4e9b",b84b9c89767e793067e9bda179368414,"62876bce4c1d0681a978e484c1c278be","7b361efd237563c215dc2ebd92ca142d"
BASELINE,MSBF_POP_0001_M000080_A01,MSBF_ACCT_B22595AD8F6F34E1BCCF,MSBF_ADV_7EDACAB1CA8A85CA353B,PAID_OFF,"2573280fa4f54b4b44d820135f16b5c0","9209b89dc720b636b44ffa7852572379","12873014ef29d2914ad76c50ba1756c9","371908c4879f6653499eeaa341c9f642","3783cbe745363cebec919d3b36de1237"
BASELINE,MSBF_POP_0001_M000084_A01,MSBF_ACCT_87FCE8811D365C1E44C1,MSBF_ADV_22F9CAADE8192AB31D75,PAID_OFF,c7da60dbeeaac6a0a59537a1d7dbd5be,"46041a1a2b32a6936224745f5b2cb4e6","1c2f94d4a7c20954c82d3e74720d9fef","29c1f769814aa0307f1b3786cfb7b55a",dcb4ff2f72ee26ab656f67f6f116ea64
BASELINE,MSBF_POP_0001_M000087_A01,MSBF_ACCT_278FFF49693165C5D9E0,MSBF_ADV_75C357FBDE8EE7277C8B,PAID_OFF,e0df56e17e913d35243743daef5855ba,"2a971fd51307d6ca84672fdd15b69f14","1d5a5e86ee09f99c5e1dc78b52412d0c",ae4fc3a02ff717cb391b07e93d7d6a62,"360bf611858265c9de5839e9ddbafd9d"
BASELINE,MSBF_POP_0001_M000098_A01,MSBF_ACCT_5B2420749D84B5FC9DA2,MSBF_ADV_D22422F0C2F260F7C4AE,SEVERE_SHORTFALL,"25f898685271964172f7d5f16117ed6c","5058ed3799d147d9e089fec8c6218e68","75aa83e3c49a80fe9668b918dd1d28a6",c41c0609c13e86d1000f915cbf9f0794,b1cce75ef466b25aae9ec21fc197b714
BASELINE,MSBF_POP_0001_M000114_A01,MSBF_ACCT_B99F6EBE26D6EB665F77,MSBF_ADV_753C1F21364439AFDEF6,PAID_OFF,e7a754c4c4fe2c2b3ba373f08a30f2d3,b1cdbe647e8fcea1e814fd0e02ab2ee7,"069e353e4b7627fdfb026ad498136da1","32d25d8a65d980b5b6403c3a71060a6b","7e088a0c7d2b7c4e775c677f24ee0729"
