schema_name,table_name,governed_grain,expected_live_rows,designed_columns,stage,persistence_role
msbf_ref,acquisition_source_family,source family code,,4,M1.16,REFERENCE
msbf_ref,acquisition_funnel_stage,funnel stage code,,5,M1.16,REFERENCE
msbf_ref,acquisition_cost_basis,cost basis code,,5,M1.16,REFERENCE
msbf_ref,acquisition_cost_timing,cost timing code,,6,M1.16,REFERENCE
msbf_ref,acquisition_cost_component,cost component code,,10,M1.16,REFERENCE
msbf_ref,acquisition_attribution_method,method code + version,,9,M1.16,REFERENCE
msbf_ref,acquisition_legacy_overlap_policy,parent channel + cost component,,7,M1.16,REFERENCE
msbf_m1,acquisition_source_profile,run + acquisition source,18,24,M1.16,BUSINESS/CONTRACT
msbf_m1,acquisition_marketing_campaign,run + acquisition campaign,20,21,M1.16,BUSINESS/CONTRACT
msbf_m1,acquisition_campaign_funnel_stage,run + campaign + funnel stage,120,14,M1.16,BUSINESS/CONTRACT
msbf_m1,acquisition_cost_ledger,run + acquisition cost line,40,22,M1.16,BUSINESS/CONTRACT
msbf_m1,application_acquisition_touchpoint,run + application + sequence,1075,19,M1.16,BUSINESS/CONTRACT
msbf_m1,application_acquisition_attribution_snapshot,run + application,750,32,M1.16,BUSINESS/CONTRACT
msbf_m1,application_acquisition_cost_component_value,run + application + component + version,9000,17,M1.16,BUSINESS/CONTRACT
msbf_m1,application_acquisition_cost_snapshot,run + application,750,49,M1.16,BUSINESS/CONTRACT
msbf_ctl,m1_16_acquisition_contract_registry,contract code + version + run,1,41,M1.16,CONTROL
msbf_m1,application_acquisition_contract_latest,run + application,750,49,M1.16,BUSINESS/CONTRACT
msbf_m1,application_acquisition_contract_archive,archive identity; unique run + contract version + application,750,10,M1.16,BUSINESS/CONTRACT
