stage,capability,accepted_revision,formal_status,stage_folder,normal_programs,recovery_programs,source_file_count,selected_document_count,selected_catalog_count
M2.1,"Eligibility, Policy Gates & Decision Routing",v0.2R7_ACCEPTED,ACCEPTED,2.01_Eligibility_Policy_Gates_and_Decision_Routing,01|03|04|06|08|11|12|14|15|16|132|133|134|135|136,02|05|07|09|10|13|132A|132C|134A,24,18,24
M2.2,"Pricing, Structure & Counteroffer",v0.2R2_ACCEPTED,ACCEPTED,2.02_Pricing_Structure_and_Counteroffer,01|02|05|06|07|08|09|10|140,03|04|140A|142A,13,18,17
M2.3,Final Offer & Decision Authorization,v0.2R2_ACCEPTED,ACCEPTED,2.03_Final_Offer_and_Decision_Authorization,01|03|04|05|07|08|09|10|148|149|150|151,02|06|148A|150A,16,16,24
M2.4,"Booking, Funding & Portfolio Activation",v0.2_ACCEPTED,ACCEPTED,2.04_Booking_Funding_and_Portfolio_Activation,01|02|03|04|05|06|07|08,156A|158A|158B,11,15,24
M2.5,"Daily Remittance, Exposure & Portfolio Monitoring",v0.2R5_ACCEPTED,ACCEPTED,2.05_Daily_Remittance_Exposure_and_Portfolio_Monitoring,01|02|03|05|07|09|10|11|167,04|06|08|164A|166A|166B,15,14,22
M2.6,"Early Warning, Intervention & Servicing Strategy",v0.2R1_ACCEPTED,ACCEPTED,2.06_Early_Warning_Intervention_and_Servicing_Strategy,01|02|03|04|05|06|07|08,172A|174A|174B|178A,12,17,17
M2.7,Operational Activation & Account Setup,v0.2R1_ACCEPTED,ACCEPTED,2.07_Operational_Activation_and_Account_Setup,01|02|03|04|05|06|07|08,02A|180A|182B,11,16,18
M2.8,"Servicing Execution, Payment & Lifecycle Control",v0.2_ACCEPTED,ACCEPTED,2.08_Servicing_Execution_Payment_and_Lifecycle_Control,01|02|03|04|05|06|07|08,188A|190A|190B,11,17,17
M2.9,Payment Reconciliation & Account State Certification,v0.2R1_ACCEPTED,ACCEPTED,2.09_Payment_Reconciliation_and_Account_State_Certification,01|02|03|04|05|06|07|08,03A|07R|196A|198A|198B,13,17,24
M2.10,"Portfolio Performance, KPI & Servicing Analytics",v0.2R5_ACCEPTED,ACCEPTED,2.10_Portfolio_Performance_KPI_and_Servicing_Analytics,01|02|03|04|05|06|07|08|204,02A|04A|04B|04C|05A|05B|204A|206A|206B,18,18,24
M2.11,Portfolio Optimization & Strategy Simulation,v0.2R13_ACCEPTED,ACCEPTED,2.11_Portfolio_Optimization_and_Strategy_Simulation,212|213|214|215|216|217|218|219|M2_11_218_MASTER_REPORT_EXPORT_QUERY|M2_11_219_DETAIL_REPORT_EXPORT_QUERIES|M2_11_POST_CHAIN_EVIDENCE_EXPORT_QUERIES,212A|214A|214B|215A,15,18,24
M2.12,Enterprise Portfolio Certification & G3 Contract,v1_ACCEPTED,ACCEPTED,2.12_Enterprise_Portfolio_Certification_and_G3_Contract,220|221|222|223|224|225|226|227,220A|222A|222B|223A,12,32,50
