control_code,area,subject,observed,required,status,severity_if_failed,detail
PKG001,PACKAGE,Canonical ZIP physical existence,True,True,PASS,BLOCKER,
PKG002,PACKAGE,Canonical ZIP bytes,492278,492278,PASS,BLOCKER,
PKG003,PACKAGE,Canonical ZIP SHA-256,5dce8642e46aa701cdbe1aaeb75eb8e0a8fd454fc000e8ec4161400a45a3a38c,5dce8642e46aa701cdbe1aaeb75eb8e0a8fd454fc000e8ec4161400a45a3a38c,PASS,BLOCKER,
PKG004,PACKAGE,External sidecar exact pairing,5dce8642e46aa701cdbe1aaeb75eb8e0a8fd454fc000e8ec4161400a45a3a38c  M2_12_STANDALONE_READY_FOR_EXECUTION_R1.zip,5dce8642e46aa701cdbe1aaeb75eb8e0a8fd454fc000e8ec4161400a45a3a38c  M2_12_STANDALONE_READY_FOR_EXECUTION_R1.zip,PASS,BLOCKER,
PKG005,PACKAGE,ZIP CRC,PASS,PASS,PASS,BLOCKER,
PKG006,PACKAGE,ZIP entry count,98,98,PASS,BLOCKER,
PKG007,PACKAGE,Total uncompressed bytes,3926125,3926125,PASS,BLOCKER,
PKG008,PACKAGE,Extracted physical file count,98,98,PASS,BLOCKER,
PKG009,PACKAGE,Unsafe/traversal paths,0,0,PASS,BLOCKER,
PKG010,PACKAGE,Exact duplicate paths,0,0,PASS,BLOCKER,
PKG011,PACKAGE,Case-insensitive duplicate paths,0,0,PASS,BLOCKER,[]
PKG012,PACKAGE,Symbolic links,0,0,PASS,BLOCKER,
PKG013,PACKAGE,Maximum path length,161,<260,PASS,BLOCKER,
PKG014,BOUNDARY,Nested archive/full-project artifacts,0,0,PASS,BLOCKER,
PKG015,BOUNDARY,Executable wrapper scripts,0,0,PASS,BLOCKER,
PKG016,BOUNDARY,Runtime-result-like payloads,0,0,PASS,BLOCKER,
PKG017,BOUNDARY,Stage 31_M2_12 paths,0,0,PASS,BLOCKER,
PKG018,BOUNDARY,Unauthorized Program 228+ SQL,0,0,PASS,BLOCKER,
META001,METADATA,PACKAGE_INVENTORY record count,97,97,PASS,BLOCKER,
