canonical_sequence,object_name,governed_grain_or_formula,expected_rows,program_212_definition_rows,program_214_generated_rows,program_214_guard_present,program_214b_guard_present,canonical_inclusion,static_status
1,msbf_ctl.m2_11_policy_profile,Run,1,1,0,YES,YES,YES,PASS
2,msbf_m2.portfolio_strategy_profile,Run × strategy,8,8,0,YES,YES,YES,PASS
3,msbf_m2.portfolio_strategy_objective_definition,Run × objective,8,8,0,YES,YES,YES,PASS
4,msbf_m2.portfolio_strategy_constraint_definition,Run × constraint,12,12,0,YES,YES,YES,PASS
5,msbf_m2.portfolio_strategy_reason_definition,Run × reason,32,32,0,YES,YES,YES,PASS
6,msbf_m2.portfolio_strategy_application_source_snapshot,Run × scenario × application,1500,0,1500,YES,YES,YES,PASS
7,msbf_m2.portfolio_strategy_candidate_source_snapshot,Run × scenario × application × candidate template,557,0,557,YES,YES,YES,PASS
8,msbf_m2.portfolio_strategy_account_source_snapshot,Run × scenario × operational account,59,0,59,YES,YES,YES,PASS
9,msbf_m2.portfolio_strategy_kpi_source_snapshot,Run × source scope × KPI,72,0,72,YES,YES,YES,PASS
10,msbf_m2.portfolio_strategy_queue_source_snapshot,Run × servicing queue,3,0,3,YES,YES,YES,PASS
11,msbf_m2.application_strategy_candidate_evaluation,Accepted candidate source row × strategy,4456,0,4456,YES,YES,YES,PASS
12,msbf_m2.application_portfolio_strategy_simulation,Run × scenario × application × strategy,12000,0,12000,YES,YES,YES,PASS
13,msbf_m2.account_servicing_strategy_simulation,Run × scenario × operational account × strategy,472,0,472,YES,YES,YES,PASS
14,msbf_m2.portfolio_strategy_summary,Run × strategy × reporting scope,24,0,24,YES,YES,YES,PASS
15,msbf_m2.portfolio_strategy_frontier,Run × strategy × reporting scope,24,0,24,YES,YES,YES,PASS
16,msbf_m2.portfolio_strategy_comparison,Run × challenger strategy × reporting scope,21,0,21,YES,YES,YES,PASS
17,msbf_m2.portfolio_strategy_simulation_latest,Run × strategy × reporting scope,24,0,24,YES,YES,YES,PASS
18,msbf_m2.portfolio_strategy_simulation_archive,Run × contract version × strategy × reporting scope,24,0,24,YES,YES,YES,PASS
19,msbf_ctl.m2_11_portfolio_strategy_contract_registry,Run × contract version,1,0,1,YES,YES,YES,PASS
TOTAL,ALL_19_CANONICAL_OBJECT_FAMILIES,"61 definition/control rows + 19,237 generated rows",19298,61,19237,YES,YES,YES,PASS
