component_code,display_order,component_group,business_definition,component_sign,component_version
GROSS_FINANCE_REVENUE,1,REVENUE,Requested finance charge,1,1
PROCESSOR_PAYMENT_COST,2,NON_LOSS_COST,Processor/payment-network cost,-1,1
PARTNER_ACQUISITION_COST,3,NON_LOSS_COST,Partner/channel acquisition cost,-1,1
FUNDING_COST,4,NON_LOSS_COST,Term-adjusted cost of funds on path-weighted EAD,-1,1
SERVICING_COST,5,NON_LOSS_COST,Fixed and variable servicing cost,-1,1
OPERATING_COST,6,NON_LOSS_COST,Fixed and variable operating cost,-1,1
TOTAL_NON_LOSS_COST,7,AGGREGATE_COST,Aggregate non-loss cost,-1,1
CONTRIBUTION_BEFORE_COMPARATIVE_LOSS,8,CONTRIBUTION,Revenue less non-loss cost,1,1
COMPARATIVE_EXPECTED_LOSS_BURDEN,9,LOSS_BURDEN,Accepted M1.13 schedule-adjusted comparative loss,-1,1
CONTRIBUTION_AFTER_COMPARATIVE_LOSS,10,CONTRIBUTION,Pre-loss contribution less comparative loss,1,1
RISK_CAPITAL_CHARGE,11,CAPITAL,Synthetic term-adjusted capital charge,-1,1
RISK_ADJUSTED_CONTRIBUTION,12,CONTRIBUTION,After-loss contribution less capital charge,1,1
HURDLE_REQUIREMENT,13,HURDLE,Term-adjusted required contribution,-1,1
ECONOMIC_SURPLUS,14,SURPLUS,Risk-adjusted contribution less hurdle requirement,1,1
